mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02570478121439616,0.000870500424621169,0.009259621302286783,0.0005604908382024842,3,2,"{'max_depth': 3, 'min_samples_split': 2}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.023647864659627277,0.0009383900119552775,0.01018961270650228,0.001775268927448626,3,5,"{'max_depth': 3, 'min_samples_split': 5}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.021340449651082356,0.0009421195419625353,0.00776974360148112,0.000582118261844389,3,10,"{'max_depth': 3, 'min_samples_split': 10}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.020315090815226238,0.0025841956100844748,0.007652997970581055,0.0008247930079550879,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.952023988005997,0.9699924981245311,0.9534883720930233,0.9585016194078504,0.008147241882980306,7
0.028972784678141277,0.0021851217022855656,0.007414102554321289,0.0003899668522690538,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.952023988005997,0.9699924981245311,0.9527381845461366,0.9582515568922215,0.008307217542189735,9
0.028252840042114258,0.008083862409191766,0.006366332372029622,0.00016088129726929287,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.9527736131934033,0.9699924981245311,0.9527381845461366,0.9585014319546903,0.00812542368483051,8
0.021248579025268555,0.004383092190098011,0.006142536799112956,0.0012272942647350317,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.9790104947526237,0.9819954988747187,0.9737434358589647,0.978249809828769,0.0034115604610430606,2
0.025598843892415363,0.0010197717981608914,0.0067059993743896484,0.0009368043341918091,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.972263868065967,0.9827456864216054,0.9707426856714179,0.9752507467196634,0.0053359841217393315,4
0.03632585207621256,0.0010173713532814679,0.0068454742431640625,0.0011680467744910124,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.9677661169415293,0.9767441860465116,0.9707426856714179,0.9717509962198196,0.0037339834703234544,5
0.034610907236735024,0.009321752293350182,0.006706555684407552,0.000916573435408267,,2,"{'max_depth': None, 'min_samples_split': 2}",0.97976011994003,0.9834958739684921,0.9752438109527382,0.9794999349537535,0.003373910508031345,1
0.026981353759765625,0.0025025060301161707,0.007830937703450521,0.0013176050479546456,,5,"{'max_depth': None, 'min_samples_split': 5}",0.972263868065967,0.9842460615153789,0.9707426856714179,0.9757508717509212,0.006039022317118377,3
0.023331642150878906,0.0015979698352624435,0.0068776607513427734,0.000565070575833697,,10,"{'max_depth': None, 'min_samples_split': 10}",0.9677661169415293,0.9767441860465116,0.9707426856714179,0.9717509962198196,0.0037339834703234544,5
