mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.02042810122172038,0.0023008485080751014,0.007446448008219401,0.0009370939527390518,3,2,"{'max_depth': 3, 'min_samples_split': 2}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.025280157725016277,0.0030032337449730287,0.010945399602254232,0.000814748656844364,3,5,"{'max_depth': 3, 'min_samples_split': 5}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.029515902201334637,0.005482955913398122,0.010962724685668945,0.0016575518183653333,3,10,"{'max_depth': 3, 'min_samples_split': 10}",0.9370314842578711,0.9414853713428357,0.9452363090772693,0.9412510548926587,0.003353701013146611,10
0.02377947171529134,0.00232711766359744,0.007172346115112305,0.00020889749189702177,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.952023988005997,0.9699924981245311,0.9534883720930233,0.9585016194078504,0.008147241882980306,7
0.02192846934000651,0.0024152031327632595,0.006728728612263997,0.0005075467096245373,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.952023988005997,0.9699924981245311,0.9527381845461366,0.9582515568922215,0.008307217542189735,9
0.020068248112996418,0.0002338882075357964,0.00690309206644694,0.000892215805935763,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.9527736131934033,0.9699924981245311,0.9527381845461366,0.9585014319546903,0.00812542368483051,8
0.02120661735534668,0.0015430477085923559,0.006783882776896159,0.0003613320593829591,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.9790104947526237,0.9819954988747187,0.9737434358589647,0.978249809828769,0.0034115604610430606,2
0.025614579518636067,0.0024017249797821,0.00707236925760905,0.0014467227636195744,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.972263868065967,0.9827456864216054,0.9707426856714179,0.9752507467196634,0.0053359841217393315,4
0.02361329396565755,0.0017319317501293052,0.008291244506835938,0.0029896098608660202,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.9677661169415293,0.9767441860465116,0.9707426856714179,0.9717509962198196,0.0037339834703234544,5
0.02570803960164388,0.0017480587078612902,0.007199605305989583,0.0013667080521929248,,2,"{'max_depth': None, 'min_samples_split': 2}",0.97976011994003,0.9834958739684921,0.9752438109527382,0.9794999349537535,0.003373910508031345,1
0.024487892786661785,0.0013028551515950192,0.0077241261800130205,0.0008435388670774898,,5,"{'max_depth': None, 'min_samples_split': 5}",0.972263868065967,0.9842460615153789,0.9707426856714179,0.9757508717509212,0.006039022317118377,3
0.022823413213094074,0.0011011699502629854,0.006479024887084961,0.0010628336222344359,,10,"{'max_depth': None, 'min_samples_split': 10}",0.9677661169415293,0.9767441860465116,0.9707426856714179,0.9717509962198196,0.0037339834703234544,5
